Year,State,Home Value <$50k (%),"Home Value $50k-$99,999k (%)","Home Value $100k-$149,999k (%)","Home Value $150k-$199,999k (%)","Home Value $200k-$299,999k (%)","Home Value $100k-$299,999 (%)","Home Value $300k-$499,999k (%)",Home Value $500k+ (%),"Home Value $500k-$749,999k (%)","Home Value $750k-$999,999k (%)","Home Value $1,000,000+ (%)",Median Home Value ($)(1000X),2nd Mortgage or Equity Loan (%),2nd Mortgage Only (%),Equity Loan Only (%),Both 2nd & Equity Loan (%),No 2nd or Equity Loan (%),Income <$10k (%),"Income $10k-$24,999 (%)","Income $25k-$34,999 (%)","Income $35k-$49,999 (%)","Income $50k-$74,999 (%)","Income $75k-$99,999 (%)","Income $100k-$149,999 (%)",Income $150k+ (%),Median Income ($)(1000X),Median Housing Cost (monthly) ($),Median Real Estate Taxes ($)
2010,Michigan,9.8,24.6,22.9,18.1,14.9,,7.4,2.3,,,,132.0,24.5,5.2,19.3,0.9,74.6,2.7,9.3,8.2,15.2,23.5,16.7,15.9,8.6,64.74,1288,2410.0
2010,Minnesota,3.3,7.5,15.5,22.7,28.4,,16.7,5.9,,,,202.9,27.4,7.2,20.1,1.0,71.6,1.4,5.5,6.4,12.3,22.5,19.4,20.1,12.4,77.042,1503,2256.0
2010,Mississippi,14.1,27.4,21.0,16.3,13.3,,6.2,1.7,,,,118.7,11.6,4.1,7.5,0.7,87.7,3.8,14.1,10.1,15.5,22.0,15.5,12.9,6.0,56.878,1043,846.0
2010,Missouri,6.8,19.9,23.6,19.6,17.9,,8.8,3.4,,,,149.4,17.2,5.1,12.1,0.6,82.2,2.2,9.3,8.4,14.7,23.4,17.0,16.6,8.5,65.911,1182,1418.0
2010,Montana,5.5,10.1,13.6,22.0,25.7,,17.1,6.0,,,,196.8,14.6,3.9,10.7,0.6,84.8,2.6,10.6,7.9,15.2,24.8,17.9,14.7,6.3,62.191,1217,1656.0
2010,Nebraska,7.0,21.4,30.5,17.8,15.5,,5.9,1.9,,,,136.0,17.7,5.6,12.0,0.9,81.5,1.6,6.1,8.0,12.7,25.0,19.9,18.6,8.1,71.102,1218,2482.0
2010,Nevada,3.7,12.6,19.7,20.8,23.6,,14.3,5.3,,,,179.1,21.7,8.0,13.7,1.2,77.1,2.6,7.2,7.5,12.3,23.0,17.2,19.3,10.9,71.865,1638,1783.0
2010,New Hampshire,1.8,4.0,9.0,15.0,38.8,,25.0,6.4,,,,247.6,26.5,5.4,21.1,0.8,72.7,1.4,4.3,4.8,10.5,21.1,19.1,23.2,15.7,84.346,1853,4807.0
2010,New Jersey,0.9,1.9,3.9,8.3,23.8,,38.7,22.5,,,,346.8,24.6,4.1,20.5,0.9,74.5,1.4,4.5,4.2,7.5,16.2,16.1,24.6,25.4,99.984,2370,6963.0
2010,New Mexico,6.8,12.5,18.3,20.9,22.7,,12.5,6.2,,,,174.3,13.4,5.1,8.3,0.7,85.9,2.9,11.0,9.2,15.2,21.4,15.6,16.1,8.7,62.597,1202,1243.0
2010,New York,2.9,10.8,10.9,9.4,13.8,,27.3,24.9,,,,315.1,21.9,3.4,18.5,0.8,77.3,1.7,5.2,5.3,10.0,18.9,16.5,22.3,20.2,87.81200000000001,1963,4399.0
2010,North Carolina,4.7,15.8,22.2,19.2,19.6,,12.7,5.9,,,,165.8,22.3,4.8,17.5,0.8,76.9,2.6,9.0,9.0,14.9,23.1,16.5,15.3,9.5,64.837,1250,1382.0
2010,North Dakota,10.4,18.9,24.5,21.5,18.0,,5.2,1.4,,,,142.8,16.6,3.8,12.8,0.7,82.6,0.9,4.7,7.5,12.4,25.9,21.3,20.0,7.3,73.191,1133,2025.0
2010,Ohio,5.2,22.9,26.0,19.2,16.7,,7.8,2.2,,,,141.7,25.3,5.8,19.5,0.9,73.8,2.2,8.3,8.3,14.5,24.1,17.4,16.6,8.6,66.594,1246,2121.0
2010,Oklahoma,9.9,26.9,26.2,16.3,12.9,,5.8,2.0,,,,123.6,11.9,5.5,6.5,0.6,87.5,2.2,10.1,8.6,15.6,24.5,16.4,15.1,7.5,62.732,1089,1090.0
2010,Oregon,2.7,3.1,8.8,16.5,32.5,,25.9,10.5,,,,253.3,24.1,7.6,16.5,0.9,75.0,2.4,7.1,7.5,14.0,23.2,17.5,18.2,10.1,70.418,1577,2509.0
2010,Pennsylvania,5.0,15.7,17.2,17.3,22.7,,16.1,6.0,,,,182.1,23.9,4.6,19.4,0.9,75.2,2.2,6.9,7.3,12.6,22.5,17.8,18.7,12.0,72.891,1390,2595.0
2010,Rhode Island,1.6,1.4,6.0,18.2,36.4,,26.6,9.9,,,,258.1,27.7,5.1,22.7,1.3,71.0,1.7,4.8,6.2,11.0,22.2,18.7,20.5,14.9,79.813,1837,3815.0
2010,South Carolina,7.8,18.4,22.3,17.8,17.1,,10.7,5.9,,,,153.4,19.0,4.5,14.5,0.7,80.3,2.8,10.3,8.9,14.9,23.3,16.4,15.3,8.0,62.766999999999996,1177,867.0
2010,South Dakota,9.4,17.4,24.9,20.7,16.3,,8.8,2.6,,,,146.8,16.8,4.8,12.0,0.4,82.8,1.5,5.2,10.2,12.7,27.8,20.0,15.9,6.6,68.243,1151,1927.0
2010,Tennessee,6.0,20.3,25.1,17.9,16.2,,10.3,4.1,,,,147.0,18.1,5.7,12.4,0.6,81.2,2.9,10.0,9.6,15.8,23.6,15.5,14.3,8.4,61.581,1161,1080.0
2010,Texas,5.9,21.4,25.2,18.6,15.8,,9.2,3.9,,,,144.7,9.9,4.5,5.4,0.4,89.7,2.2,7.6,7.1,12.2,21.0,16.7,19.4,13.9,74.935,1402,2997.0
2010,Utah,2.3,3.0,13.3,23.1,33.1,,18.9,6.3,,,,220.9,22.2,8.1,14.1,0.7,77.1,1.7,6.0,6.0,13.8,25.9,19.1,19.2,8.4,71.038,1433,1426.0
2010,Vermont,2.9,5.7,12.0,22.0,30.6,,19.5,7.3,,,,222.9,24.1,3.6,20.5,0.6,75.3,2.1,7.4,7.5,13.9,25.6,17.7,16.6,9.2,68.69800000000001,1445,3588.0
2010,Virginia,2.6,5.2,9.7,14.1,24.8,,26.1,17.4,,,,271.5,25.8,6.6,19.2,0.9,73.3,1.9,5.3,5.7,10.3,18.4,16.0,21.7,20.8,87.012,1728,2158.0
2010,Washington,1.9,2.7,7.7,13.7,29.6,,29.3,15.1,,,,280.0,23.3,6.7,16.6,1.2,75.6,1.9,5.4,5.7,11.1,21.6,18.5,21.6,14.2,80.24,1736,2737.0
2010,West Virginia,12.4,30.4,20.3,15.8,14.1,,5.8,1.3,,,,116.0,14.5,3.6,11.0,0.3,85.1,2.8,11.5,10.2,15.9,23.4,17.3,14.0,5.1,59.593,918,648.0
2010,Wisconsin,2.8,12.6,21.4,22.4,24.5,,12.4,3.8,,,,175.6,25.3,6.3,19.0,1.0,73.7,1.8,6.7,7.5,13.2,24.5,19.5,18.3,8.5,71.063,1404,3244.0
2010,Wyoming,5.4,7.5,17.6,23.0,27.2,,13.1,6.2,,,,191.6,16.2,9.1,7.1,0.4,83.4,1.8,6.3,5.8,11.6,25.1,18.1,22.0,9.4,74.26,1300,1189.0
2010,Puerto Rico,1.3,22.7,31.6,21.2,14.1,,6.5,2.6,,,,140.1,4.1,3.1,1.0,0.4,95.5,8.1,24.1,14.2,19.4,18.3,6.8,6.0,3.0,37.217,851,773.0
2011,Alabama,8.7,22.4,22.2,18.5,16.2,,8.7,3.4,,,,142.2,15.2,3.9,11.3,0.6,84.2,3.2,10.5,8.6,14.1,21.7,16.9,16.4,8.7,65.045,1134,585.0
2011,Alaska,2.0,2.9,6.2,17.6,36.3,,27.7,7.3,,,,255.0,12.0,3.4,8.6,0.6,87.4,0.6,3.7,3.0,8.6,17.9,19.7,26.3,20.2,94.96600000000001,1794,3074.0
2011,Arizona,5.2,18.0,21.7,18.0,18.1,,13.2,5.9,,,,161.1,19.0,4.9,14.2,0.7,80.3,3.3,9.4,8.2,14.2,21.1,15.5,17.4,10.9,66.79,1365,1434.0
2011,Arkansas,11.0,29.6,22.0,16.0,12.5,,6.7,2.1,,,,120.7,8.5,3.2,5.3,0.4,91.1,3.5,11.0,9.1,16.1,22.6,15.2,15.2,7.4,60.34,988,732.0
2011,California,1.6,3.8,7.0,9.0,17.9,,28.5,32.2,,,,363.6,23.0,6.3,16.6,1.4,75.6,2.3,6.0,5.3,9.8,17.3,15.3,21.6,22.3,89.279,2182,3291.0
2011,Colorado,2.3,4.7,11.7,18.4,29.2,,22.8,10.9,,,,238.8,23.2,8.9,14.3,0.9,75.9,2.5,5.9,5.9,11.6,20.4,16.6,21.3,15.9,80.07600000000001,1560,1530.0
2011,Connecticut,1.3,2.1,7.1,15.2,29.0,,28.2,17.2,,,,282.9,24.8,5.1,19.7,0.7,74.6,1.8,3.7,4.5,8.4,16.7,17.1,23.3,24.5,96.23899999999999,2052,5152.0
2011,Delaware,2.6,3.0,9.4,18.2,34.7,,26.9,5.3,,,,242.2,23.5,6.0,17.5,1.1,75.3,2.3,5.6,5.9,11.5,20.1,18.5,21.4,14.7,80.85600000000001,1567,1300.0
2011,District of Columbia,1.1,1.0,2.5,4.7,16.3,,33.3,41.1,,,,426.8,21.1,5.9,15.2,1.0,77.9,2.5,4.1,3.6,7.2,14.4,13.1,20.4,34.9,108.425,2224,2600.0
2011,Florida,5.2,20.0,20.7,17.6,18.5,,11.9,6.0,,,,159.1,20.4,4.7,15.7,1.0,78.6,3.7,10.6,9.4,14.0,21.2,14.9,15.5,10.8,63.474,1470,1882.0
2011,Georgia,6.0,18.5,22.6,18.6,18.0,,11.8,4.5,,,,156.3,18.8,6.1,12.7,0.7,80.5,3.2,9.1,7.8,12.9,21.5,15.7,17.8,12.0,68.998,1371,1612.0
2011,Hawaii,0.7,1.1,2.3,3.4,11.9,,32.6,47.9,,,,485.8,22.2,4.3,17.9,1.4,76.4,1.3,4.4,4.0,9.7,19.0,17.3,25.8,18.5,90.916,2221,1390.0
2011,Idaho,4.2,14.3,24.2,22.3,20.8,,10.7,3.5,,,,164.0,19.0,5.8,13.2,1.1,79.9,2.7,9.2,9.4,17.4,23.7,16.2,15.1,6.3,60.854,1212,1290.0
2011,Illinois,4.2,14.2,16.5,18.1,22.6,,17.0,7.4,,,,190.1,20.0,4.2,15.9,0.8,79.2,2.1,6.7,6.5,11.3,21.4,16.9,19.9,15.2,77.24600000000001,1646,4206.0
2011,Indiana,6.0,27.1,26.9,18.0,13.3,,6.7,1.9,,,,129.3,18.3,4.7,13.5,0.6,81.2,2.2,8.4,8.6,14.6,24.5,17.9,16.3,7.6,65.84899999999999,1091,1137.0
2011,Iowa,7.2,24.3,25.9,17.7,15.9,,7.0,1.9,,,,133.6,17.8,5.1,12.6,0.6,81.7,1.4,6.6,7.9,13.6,25.0,19.3,17.4,8.8,70.433,1144,1879.0
2011,Kansas,8.3,22.3,22.6,19.3,16.7,,8.0,2.8,,,,143.1,14.4,4.7,9.7,0.5,85.1,1.5,6.5,7.4,13.5,23.2,19.1,18.3,10.4,72.387,1252,1922.0
2011,Kentucky,8.3,23.6,25.7,17.1,15.0,,7.5,2.8,,,,134.9,18.9,4.1,14.7,0.6,80.5,2.9,9.5,8.6,15.0,22.8,17.1,16.0,8.0,64.806,1092,1137.0
2011,Louisiana,8.3,16.6,20.7,22.3,18.9,,9.6,3.4,,,,158.2,12.3,4.2,8.1,0.7,87.0,3.2,9.5,8.0,12.7,20.2,17.3,18.3,10.8,70.365,1176,818.0
2011,Maine,5.1,11.8,18.2,22.0,24.0,,13.8,5.0,,,,180.0,22.3,3.4,18.9,0.7,77.0,2.1,8.8,8.9,13.7,22.4,18.4,16.8,8.7,67.548,1304,2215.0
2011,Maryland,1.7,3.2,6.7,12.5,27.7,,30.5,17.8,,,,293.8,23.6,5.6,18.0,1.2,75.2,1.8,4.4,4.3,7.4,17.1,16.1,24.7,24.1,97.939,1961,3152.0
2011,Massachusetts,1.2,1.3,4.3,9.7,26.1,,38.1,19.4,,,,330.5,24.9,4.6,20.3,0.9,74.2,1.5,4.4,4.3,8.0,16.8,16.3,25.0,23.6,97.523,2042,3735.0
2011,Michigan,10.8,26.2,21.9,17.7,14.4,,6.7,2.4,,,,126.6,22.2,4.6,17.5,0.8,77.0,2.6,8.9,8.3,13.8,22.2,16.9,17.2,10.0,67.704,1275,2351.0
2011,Minnesota,3.5,9.3,17.4,23.3,26.1,,15.1,5.3,,,,191.4,24.5,6.6,17.9,1.0,74.5,1.7,5.2,6.1,11.5,22.5,18.5,21.4,13.1,78.48,1481,2252.0
2011,Mississippi,12.8,28.1,21.7,16.6,13.3,,5.8,1.7,,,,119.4,10.4,3.1,7.3,0.4,89.2,5.1,12.7,10.3,15.1,22.0,15.1,12.5,7.2,57.051,1048,913.0
2011,Missouri,6.7,20.5,24.2,19.1,17.4,,8.8,3.2,,,,146.8,16.3,4.6,11.6,0.6,83.1,2.2,8.0,8.2,14.2,23.1,17.6,16.9,9.9,67.78,1199,1448.0
2011,Montana,4.2,9.4,16.4,20.6,28.4,,15.0,6.0,,,,198.2,16.0,5.2,10.8,0.6,83.4,2.6,9.0,8.7,16.3,24.7,16.7,15.3,6.7,62.611000000000004,1256,1668.0
2011,Nebraska,6.3,20.9,30.0,17.6,16.5,,7.1,1.7,,,,137.8,16.1,5.9,10.2,0.7,83.2,1.6,5.9,6.3,13.2,23.1,20.3,18.9,10.8,74.979,1237,2561.0
2011,Nevada,4.6,17.7,22.7,20.0,19.1,,12.2,3.9,,,,160.4,19.4,7.0,12.5,0.8,79.8,2.7,7.7,8.0,14.5,21.2,15.9,18.5,11.5,70.462,1529,1610.0
2011,New Hampshire,2.0,4.0,7.8,18.2,37.8,,25.0,5.3,,,,243.1,22.6,5.0,17.6,0.9,76.5,1.2,4.4,5.3,8.9,19.9,18.9,24.9,16.6,87.96700000000001,1884,5050.0
2011,New Jersey,1.1,2.1,4.8,9.2,25.2,,36.5,20.9,,,,332.1,22.9,3.8,19.0,1.0,76.2,1.4,4.3,4.1,8.0,15.7,15.8,24.7,26.1,100.979,2397,7188.0
2011,New Mexico,6.0,13.1,19.5,19.8,21.6,,13.8,6.1,,,,174.1,13.6,5.2,8.4,0.7,85.7,3.5,10.8,8.0,14.0,21.1,15.6,16.4,10.6,65.69800000000001,1216,1283.0
2011,New York,2.9,10.5,11.4,10.0,14.6,,27.4,23.1,,,,303.5,20.2,3.1,17.1,0.9,78.9,1.8,5.3,5.1,9.4,18.2,16.7,22.3,21.2,89.84,1977,4606.0
2011,North Carolina,4.4,15.9,22.5,19.7,19.5,,12.4,5.5,,,,165.4,20.5,4.2,16.3,0.7,78.8,2.8,9.1,8.6,14.5,22.1,15.6,16.6,10.6,65.803,1246,1405.0
2011,North Dakota,8.6,18.1,24.7,22.3,17.4,,7.2,1.7,,,,147.2,14.1,3.6,10.5,0.7,85.2,1.4,4.2,5.4,12.2,23.5,21.1,21.8,10.4,78.423,1155,2012.0
2011,Ohio,5.5,24.5,25.7,19.0,15.8,,7.2,2.4,,,,137.9,23.1,5.2,17.9,0.9,76.0,2.2,7.8,8.1,13.8,23.7,17.1,17.4,9.9,68.59899999999999,1243,2141.0
2011,Oklahoma,9.0,27.7,25.4,17.0,12.7,,5.9,2.4,,,,125.6,10.1,4.4,5.6,0.3,89.6,2.4,8.8,8.6,14.9,23.4,16.7,17.0,8.2,65.792,1108,1153.0
2011,Oregon,2.9,4.1,10.7,19.7,29.8,,23.5,9.3,,,,238.6,21.7,6.6,15.1,0.8,77.5,2.4,7.4,6.9,12.8,23.6,18.2,17.6,11.1,71.65,1546,2526.0
2011,Pennsylvania,4.9,15.5,17.7,18.4,22.2,,15.4,5.8,,,,178.8,22.4,3.9,18.5,0.8,76.8,2.1,6.7,6.7,12.3,22.5,17.4,19.2,13.1,74.597,1408,2653.0
2011,Rhode Island,1.4,2.7,8.0,18.9,35.7,,23.5,9.7,,,,244.4,24.3,4.4,19.9,0.9,74.9,1.7,6.1,4.7,10.4,19.7,17.9,23.7,15.8,85.772,1842,3796.0
2011,South Carolina,7.2,19.1,22.8,18.0,16.7,,10.4,5.9,,,,152.3,17.4,4.1,13.3,0.7,81.9,3.0,10.4,8.6,14.6,22.8,15.4,16.3,8.9,63.143,1175,894.0
2011,South Dakota,7.7,17.6,25.2,21.9,16.7,,8.8,2.0,,,,148.8,15.2,4.4,10.8,0.6,84.2,1.8,5.7,7.6,14.8,25.7,21.5,15.4,7.6,70.3,1178,1956.0
2011,Tennessee,6.1,20.7,24.5,18.7,16.7,,9.3,4.1,,,,147.4,15.4,4.2,11.3,0.4,84.2,2.7,10.2,9.1,14.7,22.5,16.7,15.3,8.9,63.288000000000004,1172,1090.0
2011,Texas,5.8,22.0,24.9,18.3,15.9,,9.0,4.1,,,,144.1,8.6,3.9,4.7,0.4,91.0,2.2,7.6,6.8,11.9,20.2,16.4,20.0,14.9,76.873,1398,3020.0
2011,Utah,2.4,3.8,15.6,24.7,29.7,,17.9,6.0,,,,209.9,19.0,7.1,11.9,0.9,80.2,1.5,5.5,6.4,13.4,25.9,19.0,18.5,9.9,72.089,1418,1432.0
2011,Vermont,2.6,5.7,12.5,22.2,30.9,,19.5,6.6,,,,220.7,21.4,3.6,17.8,0.3,78.3,1.5,7.1,7.4,12.5,22.0,20.3,17.9,11.4,74.419,1487,3647.0
2011,Virginia,2.1,5.9,10.8,14.8,25.1,,25.0,16.4,,,,262.8,23.0,5.8,17.2,0.8,76.2,1.7,5.4,5.5,9.9,18.3,16.2,21.2,21.8,88.389,1707,2128.0
2011,Washington,1.8,3.2,9.0,16.7,29.1,,26.8,13.4,,,,263.1,20.7,5.3,15.3,1.1,78.3,1.7,5.5,5.6,10.6,20.9,18.5,21.7,15.5,82.029,1733,2826.0
2011,West Virginia,12.2,29.1,21.1,15.6,14.3,,5.9,1.8,,,,118.4,14.3,3.2,11.1,0.4,85.3,3.6,10.9,10.0,15.2,21.5,15.8,15.6,7.4,61.318000000000005,937,696.0
2011,Wisconsin,2.9,12.9,23.2,22.3,24.1,,11.3,3.4,,,,172.1,22.3,5.3,16.9,1.0,76.7,2.0,6.4,6.6,13.3,24.4,19.3,18.7,9.4,72.203,1402,3302.0
2011,Wyoming,4.7,9.0,18.9,23.2,27.5,,12.5,4.2,,,,187.7,14.1,7.4,6.7,1.1,84.8,1.7,5.4,7.7,11.0,22.7,20.1,22.5,8.8,77.66,1269,1185.0
2011,Puerto Rico,1.7,20.9,30.9,22.2,15.0,,6.9,2.4,,,,144.0,3.6,2.7,0.9,0.3,96.0,9.2,23.1,15.7,18.1,18.3,7.0,5.4,3.2,36.333,888,724.0
2012,Alabama,8.5,23.0,21.7,17.9,16.8,,9.0,3.2,,,,142.6,14.2,4.1,10.1,0.5,85.4,3.2,9.8,8.9,13.7,21.5,17.1,16.7,9.0,65.297,1104,597.0
2012,Alaska,2.3,2.7,7.4,14.3,38.1,,28.9,6.3,,,,260.4,9.6,2.6,7.0,0.4,90.0,1.2,4.5,4.4,8.3,16.5,18.8,24.4,21.8,94.352,1831,3098.0
2012,Arizona,5.7,18.3,21.9,17.0,18.3,,12.9,5.9,,,,159.7,15.7,3.7,12.0,0.7,83.6,2.8,8.1,8.0,13.4,22.0,15.4,18.4,11.9,69.604,1320,1393.0
2012,Arkansas,11.0,28.7,22.6,16.1,13.1,,6.2,2.1,,,,121.3,7.9,3.4,4.5,0.2,91.9,2.8,10.6,9.9,14.5,23.5,15.9,15.4,7.4,61.20399999999999,975,762.0
2012,California,1.7,4.1,7.2,9.3,18.0,,28.5,31.3,,,,358.1,20.9,5.6,15.3,1.1,78.0,2.3,5.7,5.2,9.6,17.1,15.2,21.8,23.2,91.024,2119,3336.0
2012,Colorado,2.6,4.9,11.4,18.0,28.5,,23.6,11.0,,,,240.5,19.9,7.5,12.3,1.0,79.1,2.0,5.7,5.8,11.1,20.2,17.7,20.8,16.7,81.304,1551,1539.0
2012,Connecticut,1.4,3.0,8.5,16.1,28.9,,26.0,16.2,,,,270.9,24.1,5.5,18.6,0.8,75.1,1.4,4.4,4.0,8.2,16.9,16.3,24.4,24.4,97.646,2027,5139.0
2012,Delaware,3.0,3.5,10.2,20.2,34.3,,23.2,5.6,,,,233.5,21.1,3.8,17.3,0.6,78.3,2.1,6.3,5.2,11.9,20.9,18.4,21.6,13.7,79.61,1517,1322.0
2012,District of Columbia,1.0,0.7,2.0,5.5,15.4,,30.4,45.1,,,,464.2,21.2,7.1,14.1,0.6,78.2,2.4,3.8,3.8,6.1,13.1,11.3,21.8,37.7,119.398,2262,2833.0
2012,Florida,5.9,21.2,20.0,17.8,17.8,,11.7,5.8,,,,156.7,19.1,4.6,14.5,0.6,80.3,3.4,10.1,9.3,14.5,20.8,15.1,16.0,10.9,64.414,1425,1819.0
2012,Georgia,6.6,20.6,21.8,17.9,17.2,,11.2,4.7,,,,152.3,17.4,5.5,11.9,0.8,81.8,3.2,8.5,7.3,12.3,21.4,15.7,17.9,13.6,71.35300000000001,1331,1587.0
2012,Hawaii,0.7,1.2,2.0,3.8,12.1,,30.8,49.5,,,,496.2,20.9,4.8,16.1,1.8,77.3,1.8,5.5,3.5,8.6,17.3,17.3,25.9,20.1,94.565,2244,1416.0
2012,Idaho,3.0,15.8,26.7,21.2,19.7,,9.7,3.8,,,,158.4,17.0,5.1,11.9,1.0,81.9,2.4,9.3,9.3,15.1,26.1,15.7,14.6,7.5,62.118,1174,1240.0
2012,Illinois,4.4,15.9,17.9,17.8,21.4,,15.3,7.3,,,,180.2,19.1,4.2,14.9,0.7,80.3,1.9,6.5,5.9,11.0,19.9,17.4,20.9,16.5,80.94800000000001,1618,4328.0
2012,Indiana,6.7,26.9,26.4,17.7,14.0,,6.4,1.9,,,,129.6,16.5,4.2,12.3,0.4,83.0,2.1,8.1,8.2,14.9,23.7,17.9,17.0,8.1,66.792,1069,1126.0
2012,Iowa,7.2,24.8,23.9,18.7,16.3,,7.3,1.8,,,,137.0,15.2,4.6,10.6,0.6,84.2,1.6,6.4,7.4,13.1,24.8,19.4,18.7,8.6,71.36,1140,1962.0
